States,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI
AK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AL,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
AR,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CA,-,-,-,-,19,-,5,-,-,1,-,-,-,1,-,-,-,-,12,1,-,-,-,1,-,-,1,-,-,-,-,-,-,7,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-
CO,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
CT,-,-,3,4,17,2,1353,3,10,13,2,4,-,14,3,1,3,-,94,15,3,2,6,8,-,-,8,-,-,3,11,-,1,113,9,2,2,18,11,2,-,2,7,1,4,6,1,2,-
DE,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FL,-,-,-,1,-,-,6,-,49,1,-,-,-,2,-,-,-,1,5,-,-,-,1,-,-,-,-,-,-,1,-,-,-,10,-,-,-,3,1,-,-,-,2,-,1,-,-,-,-
GA,-,-,-,-,-,-,5,-,2,12,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
HI,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IA,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
ID,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IL,-,-,-,-,-,-,-,-,1,-,-,-,-,9,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,3,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-
IN,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
KY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
LA,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
MA,1,-,-,7,20,4,62,1,10,9,-,-,-,5,5,-,-,1,1170,7,4,2,2,1,-,-,2,-,-,39,13,-,-,37,4,-,4,7,36,-,-,-,10,2,5,5,4,2,2
MD,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,1,6,-,-,1,-,-,-,-,-,-,1,-,-,-,4,-,-,-,1,-,-,-,-,1,-,2,-,-,-,-
ME,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MI,-,-,-,-,1,-,2,-,-,-,-,-,-,1,1,-,-,-,1,-,-,6,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MO,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,-,-,-,-,1,-,3,-,2,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,7,-,-,1,1,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NH,-,-,-,-,1,1,7,-,1,1,-,-,-,-,-,1,1,-,47,-,1,1,-,-,-,-,-,-,-,75,-,-,1,1,-,-,1,-,1,-,-,1,4,-,-,1,-,1,-
NJ,-,-,-,-,3,1,10,-,2,1,-,-,-,1,2,-,-,-,2,1,-,1,-,-,-,1,-,-,-,-,53,-,-,51,2,-,-,1,-,-,-,-,-,1,2,-,2,-,-
NM,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
